Procedencia,Artista,Fecha nacimiento/fallecimiento,Técnica/soporte,Dimensiones,Fecha,Estimado,Casa de subastas
"Estate de Harrison Eddins, Jr.",Leonora Carrington,1917 - 2011,Óleo sobre lienzo,55.9 x 81.3 cm.,1975,"$700,000 - 1,000,000",Sotheby’s
"Estate de Harrison Eddins, Jr.",Leonora Carrington,1917 - 2011,Monoprint,61 x 45.7 cm.,1975,"$15,000 - 20,000",Sotheby’s
"Estate de Harrison Eddins, Jr.",Leonora Carrington,1917 - 2011,Litografía,50.8 x 76.2 cm.,1974,"$8,000 - 12,000",Sotheby’s
"Estate de Harrison Eddins, Jr.",Leonora Carrington,1917 - 2011,Bolígrafo y tinta y lapicero sobre papel,43.2 x 35.6 cm.,1972,"$20,000 - 30,000",Sotheby’s
"Estate de Harrison Eddins, Jr.",Gabriel de la Mora,b. 1968,"Óleo, técnica mixta y collage sobre lienzo",147 x 122 cm.,1997,"$25,000 - 35,000",Sotheby’s
"Estate de Harrison Eddins, Jr.",Gabriel de la Mora,b. 1968,Óleo sobre lienzo,88.9 x 121.9 cm,1997,"$15,000 - 25,000",Sotheby’s
Colección de Annabelle y Bernard Fishman,Fernando Botero,1932 - 2023,Óleo sobre lienzo,73.7 x 80 cm.,1994,"$300,000 - 500,000",Sotheby’s
Colección Familia Maharam,Fernando Botero,1932 - 2023,Bronce,188 x 91.4 x 54 cm.,1985,"$350,000 - 550,000",Sotheby’s
Colección de la Familia Antonio Gattorno,Antonio Gattorno,1904 - 1980,Óleo sobre lienzo,55.9 x 46.4 cm.,1946,"$20,000 - 30,000",Sotheby’s
Colección de Saul y Ellyn Dennison,Guillermo Kuitca,b. 1961,Acrílico sobre lienzo,193.4 x 124.5 cm.,1986,"$50,000 - 70,000",Sotheby’s
Colección de Saul y Ellyn Dennison,Félix González-Torres,1957 - 1996,Rompecabezas C-print en bolsa de plástico,19.1 x 24.1 cm.,1989,"$100,000 - 150,000",Sotheby’s
Famila Ovalle,Remedios Varo,1908 - 1963,Guache sobre cartón,31.4 x 30.8 cm.,1956,"$1,200,000 - 1,800,000",Christie’s
Famila Ovalle,Remedios Varo,1908 - 1964,Tinta y pan de oro sobre vidrio con respaldo de cuero,20.3 x 14.9 x 2.2 cm.,1957,"$200,000 - 300,000",Christie’s
Colección Marilyn Arison,Francisco Zúñiga,1912 - 1998,Bronce con pátina marrón oscuro y verde,33 cm.,1969,"$7,000 - 10,000",Christie’s
Fundación Cruz-Diez,Carlos Cruz-Diez,1923 - 2019,Acrílico y plástico inserto sobre panel con marco de aluminio,61.6 x 121.3 x 8.3 cm.,1966,"$200,000 - 300,000",Christie’s
